id,experiment,trial,manipulation,item,correct
id134,Experiment 1b,7,Test - Look,Bunny,1
id134,Experiment 1b,8,Test - Look,Bear,1
id136,Experiment 1b,1,Test - Look,Tiger,0
id136,Experiment 1b,2,Test - Look,Bunny,0
id136,Experiment 1b,3,Test - Look,Frog,0
id136,Experiment 1b,4,Test - Look,Monkey,1
id136,Experiment 1b,5,Test - Look,Cat,1
id136,Experiment 1b,6,Test - Look,Bear,1
id136,Experiment 1b,7,Test - Look,Elephant,1
id136,Experiment 1b,8,Test - Look,Sheep,1
id170,Experiment 1b,1,Test - Look,Elephant,1
id170,Experiment 1b,2,Test - Look,Frog,1
id170,Experiment 1b,3,Test - Look,Mouse,1
id170,Experiment 1b,4,Test - Look,Monkey,1
id170,Experiment 1b,5,Test - Look,Pig,1
id170,Experiment 1b,6,Test - Look,Dog,1
id170,Experiment 1b,7,Test - Look,Cat,1
id170,Experiment 1b,8,Test - Look,Sheep,1
id171,Experiment 1b,1,Test - Look,Bunny,1
id171,Experiment 1b,2,Test - Look,Frog,1
id171,Experiment 1b,3,Test - Look,Monkey,1
id171,Experiment 1b,4,Test - Look,Pig,1
id171,Experiment 1b,5,Test - Look,Mouse,1
id171,Experiment 1b,6,Test - Look,Tiger,1
id171,Experiment 1b,7,Test - Look,Sheep,1
id171,Experiment 1b,8,Test - Look,Dog,1
id178,Experiment 1b,1,Test - Look,Mouse,0
id178,Experiment 1b,2,Test - Look,Elephant,0
id178,Experiment 1b,3,Test - Look,Sheep,0
id178,Experiment 1b,4,Test - Look,Monkey,0
